contentUrl	license
fig/rstudio-create-folders.png	RStudio screenshot by NBIS, used to teach about RStudio, https://www.rstudio.com/about/trademark/
fig/rstudio-create-subfolders.png	RStudio screenshot by NBIS, used to teach about RStudio, https://www.rstudio.com/about/trademark/
fig/rstudio-preferences.png	RStudio screenshot by NBIS, used to teach about RStudio, https://www.rstudio.com/about/trademark/
fig/rstudio-README-rmarkdown.png	RStudio screenshot by NBIS, used to teach about RStudio, https://www.rstudio.com/about/trademark/
fig/rstudio-screenshot.png	RStudio screenshot by NBIS, used to teach about RStudio, https://www.rstudio.com/about/trademark/
fig/rstudio-starting-how-it-should-look-like.png	RStudio screenshot by NBIS, used to teach about RStudio, https://www.rstudio.com/about/trademark/
fig/rstudiohelp.png	RStudio screenshot by NBIS, used to teach about RStudio, https://www.rstudio.com/about/trademark/
fig/rstudioredx.png	RStudio screenshot by NBIS, used to teach about RStudio, https://www.rstudio.com/about/trademark/
module-rstudio-intro-dm-practices.pdf	Presentation CC BY 4.0 by NBIS, https://creativecommons.org/licenses/by/4.0/
module-rstudio-intro-dm-practices.pptx Presentation CC BY 4.0 by NBIS, https://creativecommons.org/licenses/by/4.0/
